bill_number,tweet_id,text,date,user,url
HB4783,1237232820767969280,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Tue Mar 10 04:24:25 +0000 2020,Chris Stearns,https://twitter.com/stearnsseattle/status/1237232820767969280
HB4783,1237180699750412294,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Tue Mar 10 00:57:19 +0000 2020,WVTV,https://twitter.com/WVTV/status/1237180699750412294
HB4783,1237115242980823045,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Mon Mar 09 20:37:13 +0000 2020,Evan F. Moore,https://twitter.com/evanFmoore/status/1237115242980823045
HB4783,1237112048678510592,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Mon Mar 09 20:24:31 +0000 2020,Edward Marshall,https://twitter.com/edmarshallcbs2/status/1237112048678510592
HB4783,1237068299529265157,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Mon Mar 09 17:30:40 +0000 2020,Lee Bey,https://twitter.com/LEEBEY/status/1237068299529265157
HB4783,1237054155275096064,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Mon Mar 09 16:34:28 +0000 2020,Gene Farris,https://twitter.com/gpfarris/status/1237054155275096064
HB4783,1237051973314150402,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Mon Mar 09 16:25:48 +0000 2020,Jane Fleming,https://twitter.com/fleming77/status/1237051973314150402
HB4783,1237049249587761153,RT @MarlenGarcia777: EDITORIAL: Native Americans should be the judge of when some high school mascots stay or go https://t.co/mZ7Dx8vWmp vi…,Mon Mar 09 16:14:59 +0000 2020,Michael O'Brien,https://twitter.com/michaelsobrien/status/1237049249587761153
HB4783,1237048448744132611,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Mon Mar 09 16:11:48 +0000 2020,SarcDiva,https://twitter.com/LisaJon70933170/status/1237048448744132611
HB4783,1237047828469420032,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Mon Mar 09 16:09:20 +0000 2020,Andy,https://twitter.com/AndyDaglas/status/1237047828469420032
HB4783,1237047570855321604,"RT @Suntimes: Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for scho…",Mon Mar 09 16:08:18 +0000 2020,joyfulnoyz,https://twitter.com/joyfulnoyz/status/1237047570855321604
HB4783,1237045866126548993,"Stereotypes die hard, and sometimes they need a push. A bill making its way through Springfield would make it harder for schools to keep offensive Native American mascots. https://t.co/QLWeUArBwz",Mon Mar 09 16:01:32 +0000 2020,Chicago Sun-Times,https://twitter.com/Suntimes/status/1237045866126548993
HB4837,1238122517283438602,The #EmployeeBackgroundFairnessAct HB4837/SB3194 is another bill we're working to pass &amp; it increases opportunities for employment for ppl who have been involved in the criminal legal system #CriminalJusticeReform #twill,Thu Mar 12 15:19:45 +0000 2020,Heartland Policy,https://twitter.com/HeartlandPolicy/status/1238122517283438602
HB4870,1237880850710007813,RT @ForIllinoisans: Please support Project Illinois' billboard for candidate Danny O’Toole against incumbent Robert Martwick.Danny O’Toole…,Wed Mar 11 23:19:28 +0000 2020,Mary Gorski,https://twitter.com/mag5599/status/1237880850710007813
HB4870,1237863398349524995,RT @ForIllinoisans: Please support Project Illinois' billboard for candidate Danny O’Toole against incumbent Robert Martwick.Danny O’Toole…,Wed Mar 11 22:10:07 +0000 2020,Dr. Peppers,https://twitter.com/HomeWithDrLaura/status/1237863398349524995
HB4870,1237831164569755649,RT @ForIllinoisans: Please support Project Illinois' billboard for candidate Danny O’Toole against incumbent Robert Martwick.Danny O’Toole…,Wed Mar 11 20:02:02 +0000 2020,Elvir Smajlovic,https://twitter.com/ElvirSmajlovic1/status/1237831164569755649
HB4870,1237826289165373440,RT @ForIllinoisans: Please support Project Illinois' billboard for candidate Danny O’Toole against incumbent Robert Martwick.Danny O’Toole…,Wed Mar 11 19:42:39 +0000 2020,Northern Illinoisans For Medical Freedom,https://twitter.com/ForIllinoisans/status/1237826289165373440
HB4870,1237826235167911942,"Please support Project Illinois' billboard for candidate Danny O’Toole against incumbent Robert Martwick.Danny O’Toole is a Democrat fully supportive of parental rights. His statement to opposes any bills that infringe on that, like #HB4870 &amp; #SB3668. https://t.co/cT8Si5Z8h0 https://t.co/cmOV11ENrw",Wed Mar 11 19:42:26 +0000 2020,Northern Illinoisans For Medical Freedom,https://twitter.com/ForIllinoisans/status/1237826235167911942
HB4870,1235814141790576640,RT @ForIllinoisans: #HB4870 #HPV #GARDISILDo you know your ability to choose is at stake? That 6th graders will be refused entry to school…,Fri Mar 06 06:27:06 +0000 2020,Dagmar Bleasdale,https://twitter.com/DagmarBleasdale/status/1235814141790576640
HB4870,1235572344283901953,RT @ForIllinoisans: #HB4870 #HPV #GARDISILDo you know your ability to choose is at stake? That 6th graders will be refused entry to school…,Thu Mar 05 14:26:17 +0000 2020,Christina Giunta,https://twitter.com/clg050364/status/1235572344283901953
HB4870,1235565890575519744,"@tomdemmer @DarrenBaileyIL I wanted to express my trust that you both will stand with the over 14,000 Illinoisans that have signed witness slips in opposition to HB4870. Gabel &amp; Steans have reached beyond the power the state should have upon a free people. Thank You!",Thu Mar 05 14:00:38 +0000 2020,Adam J. Solorio,https://twitter.com/ajsolorio/status/1235565890575519744
HB4870,1235268729442914304,Hey @RobynGabel. Just wanted to ask you why #HB4870 was moved at the last minute to a committee you are the chairperson of? Just so no one forgets if it accidentally goes missing. Here the Proponent vs Opponent witness slips right now (12:20 CST). 14000&gt;250. https://t.co/HLzlr1gXLB,Wed Mar 04 18:19:49 +0000 2020,Cordon Sroka,https://twitter.com/CordonSroka/status/1235268729442914304
HB4870,1235190881772281862,".@votejoycemason Most HPV cases clear quickly and w/o treatment. That makes #HB4870 particularly egregious; mandates for risky, liability-free vaccines strip parents of their rights to make medical decisions for their children. #NoHPVmandates #parentalrights",Wed Mar 04 13:10:29 +0000 2020,Gary LaForge,https://twitter.com/gwlfeng/status/1235190881772281862
HB4870,1235190880589557760,".@reptimbutler Most HPV cases clear quickly and w/o treatment. That makes #HB4870 particularly egregious; mandates for risky, liability-free vaccines strip parents of their rights to make medical decisions for their children. #NoHPVmandates #parentalrights",Wed Mar 04 13:10:29 +0000 2020,Gary LaForge,https://twitter.com/gwlfeng/status/1235190880589557760
HB4870,1235190879398264833,".@StateRepCrespo Most HPV cases clear quickly and w/o treatment. That makes #HB4870 particularly egregious; mandates for risky, liability-free vaccines strip parents of their rights to make medical decisions for their children. #NoHPVmandates #parentalrights",Wed Mar 04 13:10:29 +0000 2020,Gary LaForge,https://twitter.com/gwlfeng/status/1235190879398264833
HB4870,1235190878475628545,".@tchfor48 Most HPV cases clear quickly and w/o treatment. That makes #HB4870 particularly egregious; mandates for risky, liability-free vaccines strip parents of their rights to make medical decisions for their children. #NoHPVmandates #parentalrights",Wed Mar 04 13:10:28 +0000 2020,Gary LaForge,https://twitter.com/gwlfeng/status/1235190878475628545
HB4870,1235170113336332290,"RT @BeckerDetox: #illinois #hb4870 #hpvmandate has been reassigned to a new committee which means 14,000 witness slips gone. Fill out those…",Wed Mar 04 11:47:58 +0000 2020,LexyMarconi,https://twitter.com/LexyMarconi/status/1235170113336332290
HB4870,1235167911565811712,"RT @BeckerDetox: #illinois #hb4870 #hpvmandate has been reassigned to a new committee which means 14,000 witness slips gone. Fill out those…",Wed Mar 04 11:39:13 +0000 2020,Shekinah1313,https://twitter.com/shekinah1313/status/1235167911565811712
HB5580,1235287834208198657,"RT @SAKimFoxx: Hatty, the @cookcountysao facility dog, traveled to Springfield with her handler to testify in support of HB5580. This bill…",Wed Mar 04 19:35:44 +0000 2020,Rugger4Warren,https://twitter.com/rugger4equality/status/1235287834208198657
HB5580,1235013115366068229,"RT @SAKimFoxx: Victims are the center of our work, and we will keep working to expand trauma-informed approaches in Cook County’s criminal…",Wed Mar 04 01:24:06 +0000 2020,Karen Goldner,https://twitter.com/kgoldner/status/1235013115366068229
HB5580,1234990322033119233,"Victims are the center of our work, and we will keep working to expand trauma-informed approaches in Cook County’s criminal justice system. Thank you to  @RepEdlyAllen for sponsoring HB5580 and championing this work!",Tue Mar 03 23:53:32 +0000 2020,State’s Attorney Kim Foxx,https://twitter.com/SAKimFoxx/status/1234990322033119233
HB5580,1234990317134213123,"Hatty, the @cookcountysao facility dog, traveled to Springfield with her handler to testify in support of HB5580. This bill would expand the type of individuals and cases eligible for support from facility dogs like Hatty. https://t.co/KdheQiRKDN",Tue Mar 03 23:53:31 +0000 2020,State’s Attorney Kim Foxx,https://twitter.com/SAKimFoxx/status/1234990317134213123
