name,party,district,count_sponsored,count_passed,Agriculture,Budget,Commerce_and_Economic_Development,Criminal_Justice,Education,Energy_and_Public_Utilities,Environment,Health,Human_and_Social_Services,Employment_and_Labor,Public_Safety_and_Firearms,Regulation,Taxes,Telecommunications_and_Information_Technology,Transportation,Veterans_Affairs,pass_rate,sponsored_rank_in_party,pass_rate_rank_in_party
"Elgie R. Sims, Jr.",D,Senate 17,102,32,0,3,4,28,6,1,1,4,3,0,0,15,5,2,2,0,31.372549019607842,9,15
Steve Stadelman,D,Senate 34,46,7,0,0,4,4,3,0,0,1,0,0,0,8,1,0,3,0,15.217391304347826,55,73
Heather A. Steans,D,Senate 7,92,21,0,17,0,5,4,2,2,2,15,1,0,20,4,1,0,0,22.82608695652174,15,34
Brian W. Stewart,R,Senate 45,39,4,2,0,0,18,1,0,0,0,2,0,0,7,5,0,2,0,10.256410256410257,24,19
Dave Syverson,R,Senate 35,37,2,0,1,0,1,0,0,0,0,1,0,0,8,0,0,1,0,5.405405405405405,28,39
Jil Tracy,R,Senate 47,66,8,3,4,0,13,5,0,1,0,3,1,0,9,7,1,3,0,12.121212121212121,7,15
Patricia Van Pelt,D,Senate 5,18,1,0,0,0,5,1,0,0,4,1,1,0,1,0,0,0,0,5.555555555555555,108,109
Celina Villanueva,D,House 21,38,4,0,1,1,5,3,0,0,0,1,2,0,14,1,1,0,0,10.526315789473685,73,92
Ram Villivalam,D,Senate 8,120,13,0,4,1,6,4,0,0,0,6,5,0,21,6,0,6,0,10.833333333333334,8,89
Chuck Weaver,R,Senate 37,56,7,0,0,0,5,6,0,0,0,0,1,0,18,12,0,2,0,12.5,10,14
Craig Wilcox,R,Senate 32,12,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,16.666666666666668,56,7
John J. Cullerton,D,Senate 6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,100.0,121,1
Toi W. Hutchinson,D,Senate 40,10,10,0,0,1,3,0,0,0,0,0,0,0,3,3,0,0,0,100.0,116,1
John G. Mulroe,D,Senate 10,22,22,0,0,2,7,0,0,0,2,1,3,0,7,0,0,0,0,100.0,102,1
Martin A. Sandoval,D,Senate 11,10,10,0,1,0,0,1,0,0,0,0,0,0,3,0,0,5,0,100.0,116,1
Carol Ammons,D,House 103,43,8,1,1,1,8,4,0,2,1,0,3,0,15,0,1,2,0,18.6046511627907,59,57
"Jaime M. Andrade, Jr.",D,House 40,44,8,0,0,0,5,0,0,0,1,2,6,1,6,0,2,1,0,18.181818181818183,56,59
Darren Bailey,R,House 109,19,1,0,2,0,1,2,0,0,0,2,1,0,4,0,0,1,0,5.2631578947368425,46,42
Mark Batinick,R,House 97,27,5,0,2,0,4,3,1,1,0,1,2,0,4,0,0,1,0,18.51851851851852,34,6
Thomas M. Bennett,R,House 106,64,6,1,3,0,9,3,1,0,0,5,5,0,16,0,0,6,0,9.375,8,21
Avery Bourne,R,House 95,24,2,0,3,0,6,2,0,0,0,1,1,0,5,1,0,2,0,8.333333333333334,39,25
Dan Brady,R,House 105,22,1,0,0,0,1,4,0,0,0,2,1,0,4,0,0,0,0,4.545454545454546,40,47
Monica Bristow,D,House 111,53,10,2,12,0,14,5,0,0,1,2,1,0,7,1,0,0,0,18.867924528301888,43,55
Terri Bryant,R,House 115,19,5,0,5,0,4,1,0,0,0,2,1,0,4,0,0,1,0,26.31578947368421,46,5
Kambium Buckner,D,House 26,35,3,0,1,3,9,2,0,0,0,3,0,0,7,0,1,4,0,8.571428571428571,79,99
Kelly M. Burke,D,House 36,44,9,0,2,1,3,4,4,0,1,0,7,0,12,0,1,0,0,20.454545454545453,56,47
Tim Butler,R,House 87,37,2,0,0,0,2,0,0,0,0,1,0,0,21,0,0,4,0,5.405405405405405,28,39
John M. Cabello,R,House 68,40,2,0,3,0,9,0,0,0,0,2,0,0,5,0,0,5,0,5.0,21,44
Jonathan Carroll,D,House 57,39,12,1,4,2,1,3,1,0,2,0,1,0,11,2,0,2,0,30.76923076923077,70,18
Kelly M. Cassidy,D,House 14,49,8,0,1,0,13,1,1,0,1,1,3,0,26,0,0,0,0,16.3265306122449,48,69
Dan Caulkins,R,House 101,16,1,0,1,0,2,7,0,0,0,1,1,0,3,0,0,1,0,6.25,53,36
Andrew S. Chesney,R,House 89,14,1,5,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.142857142857143,54,31
John Connor,D,House 85,33,4,0,3,0,10,0,3,0,1,0,3,0,6,0,1,3,1,12.121212121212121,81,85
Deb Conroy,D,House 46,34,7,0,1,0,1,2,0,0,6,7,3,0,10,1,0,0,0,20.58823529411765,80,45
Terra Costa Howard,D,House 48,31,8,0,1,0,8,2,1,0,0,2,3,1,6,1,0,1,0,25.806451612903224,84,25
Fred Crespo,D,House 44,55,9,0,8,0,0,11,1,0,0,1,2,0,22,0,0,0,0,16.363636363636363,41,68
John C. D'Amico,D,House 15,17,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,10,0,35.294117647058826,109,9
C.D. Davidsmeyer,R,House 100,38,3,2,6,0,5,0,0,0,0,1,1,0,11,0,0,2,0,7.894736842105263,26,28
William Davis,D,House 30,96,18,0,14,0,4,8,2,0,2,9,5,0,46,1,0,1,0,18.75,11,56
Eva Dina Delgado,D,House 3,7,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,120,115
Anthony DeLuca,D,House 80,28,5,0,8,1,4,1,1,0,0,1,0,0,10,0,0,1,0,17.857142857142858,93,61
Tom Demmer,R,House 90,25,2,0,6,0,2,2,0,0,2,1,1,0,4,0,0,2,0,8.0,36,26
Daniel Didech,D,House 59,60,8,0,4,0,11,4,2,0,1,0,3,0,13,0,0,2,0,13.333333333333334,36,80
Jim Durkin,R,House 82,391,1,0,2,0,4,0,1,1,0,2,2,0,373,0,0,0,0,0.2557544757033248,2,55
Mary Edly-Allen,D,House 51,41,5,1,3,1,5,4,0,0,1,1,0,0,7,0,0,1,0,12.195121951219512,66,84
"Marcus C. Evans, Jr.",D,House 33,66,5,0,8,0,7,0,1,0,1,3,13,0,19,0,0,11,0,7.575757575757576,30,102
Mary E. Flowers,D,House 31,94,14,0,3,1,20,19,1,0,12,13,6,0,8,0,0,1,0,14.893617021276595,13,75
La Shawn K. Ford,D,House 8,73,4,0,4,1,19,7,1,1,0,10,0,0,13,0,0,2,0,5.47945205479452,25,110
Randy E. Frese,R,House 94,8,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.0,61,56
Robyn Gabel,D,House 18,66,11,0,0,0,4,3,6,0,1,17,2,1,20,0,0,0,0,16.666666666666668,30,65
